package,version,license,source
@types/estree-jsx,1.0.5,MIT,website/package-lock.json
@types/hast,3.0.5,MIT,website/package-lock.json
@types/json-schema,7.0.15,MIT,website/package-lock.json
@types/mdast,4.0.4,MIT,website/package-lock.json
@types/nlcst,2.0.3,MIT,website/package-lock.json
@types/node,26.4.0,MIT,website/package-lock.json
@types/unist,3.0.3,MIT,website/package-lock.json
@typescript-eslint/eslint-plugin,8.68.0,MIT,website/package-lock.json
@typescript-eslint/parser,8.68.0,MIT,website/package-lock.json
@typescript-eslint/project-service,8.68.0,MIT,website/package-lock.json
@typescript-eslint/scope-manager,8.68.0,MIT,website/package-lock.json
@typescript-eslint/tsconfig-utils,8.68.0,MIT,website/package-lock.json
@typescript-eslint/type-utils,8.68.0,MIT,website/package-lock.json
@typescript-eslint/types,8.68.0,MIT,website/package-lock.json
@typescript-eslint/typescript-estree,8.68.0,MIT,website/package-lock.json
@typescript-eslint/utils,8.68.0,MIT,website/package-lock.json
@typescript-eslint/visitor-keys,8.68.0,MIT,website/package-lock.json
@ungap/structured-clone,1.4.0,ISC,website/package-lock.json
@vitest/expect,4.1.11,MIT,website/package-lock.json
@vitest/mocker,4.1.11,MIT,website/package-lock.json
@vitest/pretty-format,4.1.11,MIT,website/package-lock.json
@vitest/runner,4.1.11,MIT,website/package-lock.json
@vitest/snapshot,4.1.11,MIT,website/package-lock.json
@vitest/spy,4.1.11,MIT,website/package-lock.json
@vitest/utils,4.1.11,MIT,website/package-lock.json
@volar/kit,2.4.28,MIT,website/package-lock.json
@volar/language-core,2.4.28,MIT,website/package-lock.json
@volar/language-server,2.4.28,MIT,website/package-lock.json
@volar/language-service,2.4.28,MIT,website/package-lock.json
@volar/source-map,2.4.28,MIT,website/package-lock.json
@volar/typescript,2.4.28,MIT,website/package-lock.json
@vscode/emmet-helper,2.11.0,MIT,website/package-lock.json
@vscode/l10n,0.0.18,MIT,website/package-lock.json
acorn,8.18.0,MIT,website/package-lock.json
acorn-jsx,5.3.2,MIT,website/package-lock.json
ajv,6.15.0,MIT,website/package-lock.json
ajv,8.20.0,MIT,website/package-lock.json
ajv-draft-04,1.0.0,MIT,website/package-lock.json
ajv-i18n,4.2.0,MIT,website/package-lock.json
am-i-vibing,0.4.0,MIT,website/package-lock.json
ansi-regex,6.3.0,MIT,website/package-lock.json
ansi-styles,6.2.3,MIT,website/package-lock.json
anymatch,3.1.3,ISC,website/package-lock.json
argparse,2.0.1,Python-2.0,website/package-lock.json
aria-query,5.3.2,Apache-2.0,website/package-lock.json
assertion-error,2.0.1,MIT,website/package-lock.json
astro,7.2.8,MIT,website/package-lock.json
astro-eslint-parser,3.1.0,MIT,website/package-lock.json
axe-core,4.13.0,MPL-2.0,website/package-lock.json
axobject-query,4.1.0,Apache-2.0,website/package-lock.json
bail,2.0.2,MIT,website/package-lock.json
balanced-match,4.0.4,MIT,website/package-lock.json
blake3-wasm,2.1.5,MIT,website/package-lock.json
boolbase,1.0.0,ISC,website/package-lock.json
brace-expansion,5.0.9,MIT,website/package-lock.json
ccount,2.0.1,MIT,website/package-lock.json
chai,6.2.2,MIT,website/package-lock.json
character-entities-html4,2.1.0,MIT,website/package-lock.json
character-entities-legacy,3.0.0,MIT,website/package-lock.json
chokidar,4.0.3,MIT,website/package-lock.json
chokidar,5.0.0,MIT,website/package-lock.json
ci-info,4.4.0,MIT,website/package-lock.json
cliui,9.0.1,ISC,website/package-lock.json
clsx,2.1.1,MIT,website/package-lock.json
comma-separated-tokens,2.0.3,MIT,website/package-lock.json
commander,11.1.0,MIT,website/package-lock.json
common-ancestor-path,2.0.0,BlueOak-1.0.0,website/package-lock.json
convert-source-map,2.0.0,MIT,website/package-lock.json
cookie,1.1.1,MIT,website/package-lock.json
cookie,2.0.1,MIT,website/package-lock.json
cookie-es,1.2.3,MIT,website/package-lock.json
cross-spawn,7.0.6,MIT,website/package-lock.json
crossws,0.3.5,MIT,website/package-lock.json
css-select,6.0.0,BSD-2-Clause,website/package-lock.json
css-tree,2.2.1,MIT,website/package-lock.json
css-tree,3.2.1,MIT,website/package-lock.json
css-what,7.0.0,BSD-2-Clause,website/package-lock.json
cssesc,3.0.0,MIT,website/package-lock.json
csso,5.0.5,MIT,website/package-lock.json
debug,4.4.3,MIT,website/package-lock.json
deep-is,0.1.4,MIT,website/package-lock.json
defu,6.1.7,MIT,website/package-lock.json
dequal,2.0.3,MIT,website/package-lock.json
destr,2.0.5,MIT,website/package-lock.json
detect-libc,2.1.2,Apache-2.0,website/package-lock.json
devalue,5.9.2,MIT,website/package-lock.json
devlop,1.1.0,MIT,website/package-lock.json
diff,9.0.0,BSD-3-Clause,website/package-lock.json
dom-serializer,2.0.0,MIT,website/package-lock.json
domelementtype,2.3.0,BSD-2-Clause,website/package-lock.json
domhandler,5.0.3,BSD-2-Clause,website/package-lock.json
domutils,3.2.2,BSD-2-Clause,website/package-lock.json
dset,3.1.4,MIT,website/package-lock.json
emmet,2.4.11,MIT,website/package-lock.json
emoji-regex,10.6.0,MIT,website/package-lock.json
entities,4.5.0,BSD-2-Clause,website/package-lock.json
error-stack-parser-es,1.0.5,MIT,website/package-lock.json
es-module-lexer,2.3.2,MIT,website/package-lock.json
esbuild,0.28.1,MIT,website/package-lock.json
esbuild,0.28.2,MIT,website/package-lock.json
escalade,3.2.0,MIT,website/package-lock.json
escape-string-regexp,4.0.0,MIT,website/package-lock.json
eslint,10.9.1,MIT,website/package-lock.json
eslint-plugin-astro,3.1.0,MIT,website/package-lock.json
eslint-scope,9.1.2,BSD-2-Clause,website/package-lock.json
eslint-visitor-keys,3.4.3,Apache-2.0,website/package-lock.json
eslint-visitor-keys,5.0.1,Apache-2.0,website/package-lock.json
espree,11.2.0,BSD-2-Clause,website/package-lock.json
esquery,1.7.0,BSD-3-Clause,website/package-lock.json
esrecurse,4.3.0,BSD-2-Clause,website/package-lock.json
estraverse,5.3.0,BSD-2-Clause,website/package-lock.json
estree-walker,3.0.3,MIT,website/package-lock.json
esutils,2.0.3,BSD-2-Clause,website/package-lock.json
eventemitter3,5.0.4,MIT,website/package-lock.json
expect-type,1.4.0,Apache-2.0,website/package-lock.json
extend,3.0.2,MIT,website/package-lock.json
fast-deep-equal,3.1.3,MIT,website/package-lock.json
fast-json-stable-stringify,2.1.0,MIT,website/package-lock.json
fast-levenshtein,2.0.6,MIT,website/package-lock.json
fast-string-truncated-width,3.0.3,MIT,website/package-lock.json
fast-string-width,3.0.2,MIT,website/package-lock.json
fast-uri,3.1.6,BSD-3-Clause,website/package-lock.json
fast-wrap-ansi,0.2.2,MIT,website/package-lock.json
fdir,6.5.0,MIT,website/package-lock.json
file-entry-cache,8.0.0,MIT,website/package-lock.json
find-proc,0.1.0,MIT,website/package-lock.json
find-up,5.0.0,MIT,website/package-lock.json
flat-cache,4.0.1,MIT,website/package-lock.json
flatted,3.4.4,ISC,website/package-lock.json
flattie,1.1.1,MIT,website/package-lock.json
fontace,0.4.1,MIT,website/package-lock.json
fontkitten,1.0.3,MIT,website/package-lock.json
fsevents,2.3.2,MIT,website/package-lock.json
fsevents,2.3.3,MIT,website/package-lock.json
get-caller-file,2.0.5,ISC,website/package-lock.json
get-east-asian-width,1.6.0,MIT,website/package-lock.json
get-tsconfig,5.0.0-beta.4,MIT,website/package-lock.json
github-slugger,2.0.0,ISC,website/package-lock.json
glob-parent,6.0.2,ISC,website/package-lock.json
globals,17.11.0,MIT,website/package-lock.json
h3,1.15.11,MIT,website/package-lock.json
hast-util-to-html,9.0.5,MIT,website/package-lock.json
hast-util-whitespace,3.0.0,MIT,website/package-lock.json
html-escaper,3.0.3,MIT,website/package-lock.json
html-void-elements,3.0.0,MIT,website/package-lock.json
http-cache-semantics,4.2.0,BSD-2-Clause,website/package-lock.json
ignore,5.3.2,MIT,website/package-lock.json
ignore,7.0.6,MIT,website/package-lock.json
imurmurhash,0.1.4,MIT,website/package-lock.json
iron-webcrypto,1.2.1,MIT,website/package-lock.json
is-docker,4.0.0,MIT,website/package-lock.json
